country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Mexico,84.75617981,87.01699066,88.77336884,,88.00467682,,,91.67810059,92.00894165,94.08075714,94.52015686,95.37538147,95.42928314,95.30264282,95.48847961,94.7039032,95.38490295,95.87122345,96.98847961,97.40805054,96.98046875,97.18997955,,
Marshall Islands,,,,,,,,,,,86.87664032,,,,90.78498077,92.51248169,92.06349182,,,,,,,
Middle income,82.46098328,82.37621307,84.03321838,86.74786377,87.32855225,87.21459198,87.19786072,88.02603149,88.12406158,89.67021179,89.16490936,90.31011963,90.23544312,91.14508057,92.09522247,91.98036194,92.39836884,92.10399628,91.79453278,92.28739166,91.31522369,90.80023956,92.31854248,
"Macedonia, FYR",,,98.97171783,100,98.40319061,,99.69822693,99.87320709,99.72725677,98.4910965,98.17015839,98.86585236,100,99.03559113,100,99.07733154,98.69451904,,,,,,100,
Mali,,,,,,,,75.93656921,82.22398376,70.52062988,80.02062988,84.84721375,88.46846771,85.43639374,,84.18821716,85.96598053,86.99057007,93.73233795,,,,77.7564621,
Malta,100,100,99.9289093,98.13072968,99.96008301,98.0681076,99.60822296,96.60626221,97.51093292,100,99.42780304,,98.59871674,90.10204315,100,100,,,96.9365387,98.78771973,100,,100,
Myanmar,,,,,,,,66.07489014,66.90126801,72.32753754,74.09161377,75.52239227,,,75.45010376,,74.09436798,77.10128784,,,,,,
Middle East & North Africa (excluding high income),85.51148224,87.55293274,88.66542053,88.50928497,88.60654449,88.66493988,89.53093719,90.66145325,90.21105194,91.84378815,93.58460999,93.23535919,92.28794098,91.07089233,91.38244629,91.6007843,92.02610016,91.38775635,91.11227417,90.27544403,86.00421906,86.04146576,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,94.29692078,80.51429749,,92.85314941,92.97396851,95.71463776,96.44049072,98.60597229,99.46920776,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,48.59262848,51.67087936,53.71585846,,,,49.81145859,60.07772064,,58.84725189,,,57.13650894,58.05712891,63.55844879,62.21688843,57.52666855,60.60356903,57.29867935,55.24641037,58.09185028,59.05767059,60.74079132,
Mauritania,52.88644028,53.41645813,56.52883911,,,,55.89006042,,,53.81925964,,,56.61658096,61.56864929,66.41407013,,43.4317894,,,61.02944183,,61.12659836,62.61949158,
Mauritius,68.68164063,67.8128891,69.91075134,74.29016113,73.69191742,76.6623764,78.93344879,75.29653931,77.64985657,76.51486969,76.90847778,76.46788025,78.38868713,80.00375366,82.24977875,81.66039276,81.13477325,81.91136932,83.01963806,83.5247879,73.13349152,87.65608978,81.6869278,
Malawi,88.26812744,85.02758026,,88.63809967,,,,85.70010376,90.58418274,88.39420319,,,83.97341919,84.97975922,87.82472992,91.39047241,84.86528015,91.00302124,89.9227066,88.43855286,,,,
Malaysia,,,,,,,100,98.41175842,99.12744904,,,,100,99.12078857,98.77480316,98.70388794,97.19129944,96.64537048,95.43235779,93.81716156,90.91397858,89.48227692,87.32456207,
North America,,,,,,,,,,,,,,,,,,,,,,,,
